Title,Unit(grams),Price(NRs)
"VESTEL 32"" Inch Standard TV LED Television | IPS Panel | Dolby Sound | Full HD | Free wall mount |  Warranty",,13990.00
LG Microwave 20 Ltrs. - MS,,13489
WHIRLPOOL 200 IMPC Cls Grey Nep -   Direct Cooling Single Door Refrigerator (Grey),,24703.00
Rechargeable Electronic Jar Water Pump,,375.00
SAMSUNG RT28A3022GS -  Frost Free Double Door Refrigerator (Dit) - Silver,,45999.00
SAMSUNG RR20C20C2GS/IM -  Direct Cooling Single Door Refrigerator (Silver Grey),,27499.00
WHIRLPOOL 24 Litres All in One Convection Microwave With 130 Intellicook Menus (Magicook Pro  Black),,19599.00
OLIVE  Direct Cooling Single Door Mini Refrigerator,,17499.00
Wega  High Sound Hd LED TV,,13990.00
Whirlpool Microwave Solo 20L Magicook Pro  Black,,10950.00
Wega  With Free Wall Mount Television,,13990.00
SAMSUNG MS23A3513AK  Solo Microwave with Ceramic Enamel Cavity (Black),,17999.00
Mini Portable Stand Fan With,,375
WHIRLPOOL MagiCook  Black Mirror -  Tandoor Series Convection Microwave,,29199.00
"Austin Black LED TV /32""Inch STC-3200 (Borderless)",,19900.00
43P635 - 43 Inch Bezel-Less 4K Ultra HD Smart LED Google TV With  Warranty,,47000
Mini Fridge | Portable Refrigerator With Led Mirror -,,7500.00
SAMSUNG 192Ltr Single Door Refrigerator - RR20A,,30490.00
Dychi  Tv Frameless,,14000.00
Electronic Jar Water Pump,,390.00
Samsung RR20C20C2GS/IM -  Direct Cooling Single Door Refrigerator with Digital invertor,,27499.00
WHIRLPOOL 245 Litres Frost Free Double Door Refrigerator (NEO  Chromium Steel),,42099.00
Whirlpool 200 IMPC Cls Grey   Ice Magic Power Cool Cls Grey  Single Door Refrigerator,,24703.00
Wega  TV Double Glass Black,,14240
WHIRLPOOL 200 GENIUS Cls Wine Adora -  Direct Cooling Single Door Refrigerator (Wine Flower Pattern),,25999.00
Whirlpool  Mw 20 Bs  Solo Microwave Oven- White/Black,,10955.00
LG Microwave 1950W 28 Ltr. - MC,,31089
