Title,Unit(grams),Price(NRs)
Big Choice Big Musuro Daal,1000.0,140.00
Big Choice Red Chana Whole -,1000.0,124.00
"Big Choice Regular Rahar Non Polish Daal,",1000.0,200.00
Kimbap Kim Sheet (Nori Sheet) (Shusi Sheet) (),,450.00
Big Choice Moong Kosta Daal,1000.0,183.00
Big Choice Premium Jeera Masino Rice,25000.0,2099.00
"Big Choice Regular Maas Non Polish Daal,",1000.0,213.00
Big Choice Chana Daal -,1000.0,126.00
Big Choice Small Musuro Daal,1000.0,173.00
Poshilo's Protein+ satu  (Local Sattu),2000.0,960.00
Pintola All Natural Peanut Butter  Crunchy,1000.0,800
Bhansaghar Gold Steam Jeera Masino Rice,25000.0,2125.00
Poshilo's Protein+  Satu  (Local Sattu),800.0,480.00
Guitole Achar Udhyog Radish Pickle,400.0,99.00
Pintola Classic Peanut Butter Crunchy   Pintola Peanut Butter,1000.0,675.00
Paicho Vegetable Mixed Pickle,200.0,64.00
Walnut Kernels (Guddhi),500.0,790.00
Guitole Achar Udhyog Chicken Pickle  ( Chicken Achar),200.0,425.00
Guitole Achar Udhyog Pork Meat Pickle,200.0,400.00
Pintola All Natural Peanut Butter  Creamy,1000.0,799.00
Guitole Achar Udhyog Timur Chop,160.0,255.00
Guitole Achar Udhyog Buff Meat Gundurk Pickle,400.0,680.00
Red Chilly Pickle,200.0,199
Guitole Achar Udhyog Buff Pickle,200.0,399
Paicho Pickle Methi,400.0,165.00
Paicho Pickle Tama,400.0,165.00
Paicho Pickle Mix,400.0,148.00
Fresh Raisin Three Color - Total,750.0,700.00
Paicho Pickle Amla Chatpat,400.0,165.00
Paicho Pickle Lemon,400.0,165.00
Guitole Achar Udhyog Mango Pickle,500.0,340.00
Guitole Achar Udhyog Lemon Pickle,400.0,255.00
Sara Foods Red Qionoa Processed -,400.0,427
Guitole Achar Udhyog Fish Pickle,400.0,800.00
Cauliflower Pickle,200.0,171
Combo Pack Of Akabare And Vinegar 300g And Cucumber Pickle,340.0,570.00
Paicho Pickle Akabare Garlic,400.0,375.00
Paicho Pickle Anjeer,400.0,165.00
Sara Foods Yellow Raisin -,1000.0,855
Paicha Whole Corn Kernel,450.0,450.00
Paicho Pickle Karela,400.0,165.00
"Gerber Baby Snacks Puffs , Strawberry Apple.  1.48 Ounce",42.0,1250.00
LAO GAN MA Tao Huabi Chilli Sauce With Chicken  [ Chinese Chicken Achar Chilli Oil ],280.0,545.00
Bhansaghar Premium Long Grain Rice - Limited Special Rice Offer,20000.0,3350.00
"Ginger,Garlic And Chilly Pickle",200.0,171
"Gerber, Snacks For Baby, Grain & Grow, Puffs, Puffed Grain Snack, 8+ Months, Blueberry, 1.48 Oz ()",42.0,1200.00
Berlino Pasta Penne,900.0,270.00
Ghar Ko Achar Radish Pickle,350.0,350.00
True Elements Berries Mix  - Mix of Cranberries & Blueberries  Healthy Snack  Berry Mix  Dried Berries,30.0,90.00
Crown Dates  Fard -,500.0,395.00
Kaju  Pista  Badam  Kismis,200.0,1399.00
Spartan Prawn Cracker,120.0,45.00
"Slurrp Farm Healthy Snacks for Kids | Mighty Puff Cheese & Herbs| Not Fried, No Maida",,90.00
Big Choice Moong Dal -,1000.0,180.00
Berlino Macaroni Elbows,900.0,270.00
Berlino Vermicelli Roasted Long Cut,150.0,50.00
Ghar Ko Achar Buff Sukuti Achar -,500.0,1200.00
True Elements Rolled Oats Certified Gluten Free  - Breakfast Cereal,500.0,400.00
"Big Choice Rahar Non Polish Premium Daal,",1000.0,235.00
Ghar Ko Achar - Buff Sukuti Achar,300.0,750.00
Aama Ko Achar Red Chilli & Timur Garlic Pickle,200.0,332.00
Roza Tuna Chunk In Brine -,185.0,200.00
Big Choice Bodi -,1000.0,170.00
Big Choice Mixed Daal,1000.0,167.00
Fresh Dates / Khajur -,500.0,350.00
Dabur Chyawanprash -,1000.0,620.00
Combo -Kaju  Pista  Badam  Kismis 200 gm Okhar Gudi  Packet,200.0,2000.00
Quinoa,400.0,450.00
Walnut (Whole),500.0,299.00
Gluten Free Quinoa  - Breakfast Food Quinoa Seeds Diet Food for Weight Loss,1000.0,950
"Sushi Nori (Kagawa) 10 Sheets,",25.0,570.00
Dried Fig (Anjeer)-,100.0,209
Patanjali Jau Barley Daliya,500.0,160.00
Big Choice Green Peas-,1000.0,159.00
Buckwheat Whole,,266
Arksh Food Dami Crispy Puff (Nimki Flavor) -,150.0,59.00
Dried Fig (Anjeer)-,200.0,430.00
Roza Sardine In Tomato Sauce (Eoe),185.0,190.00
Dabur Chyawanprash,500.0,385.00
Mango Masala Achar-,350.0,400.00
Makhana ( Makhana Phool / Fox Nuts / Lotus Seeds) -,100.0,120.00
Dried Small Fish Imported,100.0,114
Quinoa,300.0,290.00
True Elements 7 in 1 Super Seeds Mix  - for Weight Loss | for Eating | Roasted,125.0,320.00
Chicken Achar,300.0,850.00
Druk Tomato Puree,450.0,128.00
Big Choice White Peas -,1000.0,147.00
Tiger White Pasta Box,200.0,78.00
Guitole Achar Udhyog Akabare Pickle,400.0,255.00
"Urban Food Canned Chicken Sausage,",430.0,355.00
Haldirams Sada Papad,170.0,115.00
Almonds,500.0,698.00
Big Choice Maas Non Polish Premium Daal -,1000.0,219.00
Aalash Seed,200.0,100.00
Kaju Madhuram Fresh Cashew Nuts -,1000.0,1695.00
Harlal's Unique Cashewnuts,200.0,488.00
Hotpot Gourment Spicey Chicken Noodles,100.0,50.00
Chana  Best Quality,1000.0,122.00
Poshilo's Nutri+ Satu  (Local Sattu),800.0,900.00
"Chia Seeds - , Pumpkin Seeds - , Sunflower Seeds - , Flaxseed -",100.0,380.00
"Haldirams Delista Macaroni  (Pastas, Salads or Soups)",450.0,145.00
Dabur Chyawanprakash Sugar Free,500.0,385.00
Swaadilo Ma La Chilli Oil -,175.0,320
Dry Fruit:- Cashew Nuts,200.0,375.00
"Home-made, Ready to eat -  Sutkeri Masala () by Arihant Foods",500.0,900.00
Haldiram's Punjabi Masala Papad,180.0,120.00
Chicken Achar,500.0,1200.00
Harlal'S Unique Almond-,200.0,360.00
Raisin,500.0,270.00
JUAS Hemp Seeds (Organic) -,250.0,220.00
Pasta-Makroni-,500.0,90.00
Fox Nuts (Makhana)-,250.0,230.00
Sara Foods Quinoa Processed  -,400.0,427
Super Grow Cashew,100.0,270.00
Kent Chicken Stock Soup,20.0,40.00
Arksh Food Dami Crispy Puff (Nimki Flavor) - 150 gm (),,299.00
Bhumi Nepal Pitted Prunes  Supports Immune & Digestive Health - Gluten Free Vegan Healthy Snack for Kids & Adults,1000.0,1850.00
Shrimann Green Kerau -,1000.0,177.00
Dabur Chyawanprash,250.0,185.00
Newari Shahi Pulao Basmati Rice,1000.0,180
Harlal'S Unique Almond -,100.0,180.00
Almond California  Dry Fruit -,500.0,690.00
Barilla Maccheroni N. 44,,295.00
Kim Bhap Kim Sheet (Nori Sheet) (Sushi Sheet)- .,,3500.00
Ghar Ko Achar Methi Achar,350.0,350.00
Pumpkin Seeds ( Healthy Superfood / Nutrition Power House ) -,200.0,240.00
Ghar Ko Achar Lapsi Achar,350.0,400.00
Dry Fruit:- Chinese Walnut/Chinese Okhar -,1000.0,630.00
Century Mixed Pickle,200.0,100.00
Poshilo Nutty Delight Satu  (Local Sattu),2000.0,704.00
Badam /Almond  Pack,1000.0,1250.00
Geda Masoor Dal,500.0,490.00
Mung Geda  (Green Gram Whole),1000.0,220.00
Sabu Sacha Sabu Sabudana Agmark Tapioca Sago,200.0,60.00
Poshilo's Nutri+ Satu  (Local Sattu),2000.0,1800.00
Aama Ko Achar Dalla & Garlic Paste Pickle,380.0,464.00
Shrimann Moong Chaata Dal,1000.0,224.00
Thakali Long Grain Rice,20000.0,3399.00
Super Grow Pista,100.0,290.00
Goodluck Jeera Masino Gold Angoori Rice,25000.0,2100.00
Khajur/ Fresh Dates -,1000.0,920.00
Fried Chik Peas - Bhuteko Chana,1000.0,285.00
Aama Ko Achar Dalle Pickle in Oil -,380.0,418.00
Lasun Achar (Garlic),300.0,284
Chia Seeds ( Chia Seed / Healthy Supper Food With Omega & Fiber ) -,200.0,200.00
Date Crown Khajur,500.0,450.00
"Bhumi Nepal, Brazil Nuts, Whole, Raw and Unsalted, Source of Selenium and Magnesium,",250.0,3050.00
Cashew Nuts,500.0,900.00
Big Choice Local Chana,1000.0,188.00
Shrimann Bodi Whole,500.0,100.00
Local Kalo Dal,1000.0,185.00
Agnesi Whole Wheat Penne Pasta #3,500.0,350.00
Harlal's Unique Green Raisins,200.0,174.00
Cashew Nuts (Kaju)-,100.0,190.00
Dabur Chyawanprash -,1000.0,625.00
Almond Nuts (Badam)-,200.0,285.00
Fortune Soya Chunks 200 gm ( Free),25.0,100.00
Organic Millet Flour (Kodo ko Pitho ),1000.0,110.00
Bikaji Udad Papad,200.0,125.00
Bikaji All-In-One Kuch-Kuch,400.0,193.00
Harlal's Unique Wallnuts,400.0,350.00
Walnut Kernels (Gudi),100.0,161
California Badam Almonds Desi Badam,500.0,675.00
Patanjali Wheat Daliya,500.0,115.00
Guitole Achar Udhyog Buff Pickle,400.0,680.00
Shrimann Kwati,1000.0,177.00
Maas Daal - Geda,1000.0,170.00
Roasted ChickPea (Bhuteko Chana),1000.0,285
Pintola All Natural Peanut Butter   Crunchy,1000.0,775.00
Poshilo's Nutri+ Satu  (Local Sattu),400.0,470.00
Roasted Corn,,160.00
Dry Raisins (Green Kismis),100.0,76
Gyan Chiura  Pkt,800.0,97.00
Poshilo's Protein+ Satu  (Local Sattu),400.0,260.00
"Giantman Instant Oats-  With High Protein, Fibre, Whole Oats For Breakfast & Gluten Free With No Added Sugar Diet Food For Weight Loss",1000.0,400.00
Super Grow Almond,200.0,360.00
Cashew Nuts ( Kaju ),1000.0,1565
"(Buy 1 Get 1 Free) Gerber Organic Grain & Grow, Soft Baked Grain Bars, Banana Mango Pineapple, 12+ Month-",156.0,1700.00
Lemon (Kagati),500.0,160.00
Smoked Dried Fish Local,100.0,160.00
Ghar Ko Achar: Mixed Achar,350.0,350.00
Candied Karonda Cherries -,200.0,200.00
Madhuram Fresh Arabian Dates |  | Premium Quality,500.0,499.00
Century Lemon Pickle,200.0,85.00
Mixed Sattu -,500.0,130.00
Roza Tuna Chunk In Vegetable Oil,185.0,210.00
Dried Prawn Fish Local,100.0,160.00
Ghar Ko Achar: Mushroom Achar,250.0,650.00
Ferments  Sundried Tomatoes With Herbs,190.0,450.00
Gerber Organic Grain & Grow Puffs Cranberry Orange - 1.48 oz (),42.0,1200.00
Madhuram Combo Kaju  Pista  Badam  Kismiss  Okhar,250.0,1980.00
Patanjali Garlic Pickle,400.0,215.00
Big Choice Moong Whole -,1000.0,170.00
Masyaura,200.0,150.00
Gluten Free Quinoa  - Breakfast Food Quinoa Seeds Diet Food for Weight Loss,500.0,550.00
Elbow Pasta,500.0,65.00
Raisins Dry Kismis (Lowers the risk of heart disease)-,500.0,345.00
Plain Cashew (Kaju) -,200.0,440.00
Mighty Puff: Choco Ragi -,20.0,90.00
Silam (Perrila),,60.00
Aama Ko Achar Dry Fish & Red Chilli & Timer Chhop,200.0,471.00
Bikaji Chote Chote Mini Papad,100.0,65.00
Bhumi Nepal Dried Blueberry-,500.0,1700.00
Sushi Rice -,1000.0,500.00
Dry Red Raisin (Rato Dakh)-,500.0,605.00
Myfitness Peanut Butter Chocolate Smooth 1.,25000.0,1200.00
Ilameli Chhurpi,100.0,150.00
Dry Fig (Anjeer),500.0,1000.00
Bhumi Nepal Dried Cranberry-,500.0,1200.00
Makhana ( Fox Nuts / Lotus Seeds ) -,250.0,280.00
Dabur Chyawanprash Avaleha,500.0,265.00
Cashew Nuts (Kaju)-,200.0,380.00
Dry Fruits ( Cashew Nuts),100.0,180.00
Dhiki Jato Bhuteko Makai,1000.0,375.00
Green Peas Hariyo Kerau - Peas Best Premium Quality,1000.0,150.00
Almond Nuts (Badam)-,100.0,142
Mato Red Chana,1000.0,155.00
Century Mango Pickle,400.0,150.00
Jumla Simi Dal,1000.0,261.00
Fish Pickle,100.0,250.00
Madhuram Fresh Pistachios/pista | Dry Fruits Nuts |,500.0,1220.00
Dry Apricots ( Khurpani) -,100.0,130.00
Laxmi Cashew Nut Plain,200.0,455.00
Newari Shahi Pulao Basmati Rice,20000.0,3435.00
Apricot (Khurpani),100.0,118
Madhuram Fresh Pistachios/pista | Dry Fruits Nuts |,200.0,550.00
Roasted Mix Corn,,230.00
Arksh Food Dami Crispy Puff - 150 gm (),,299.00
Bhumi Nepal  Multicolour Quinoa -,350.0,440.00
Kaju Kismiss Almond Walnut Pista  Each,200.0,1795.00
Dried Frigs(Angir) -,200.0,425.00
Gahat ( Horse Gram ),1000.0,300.00
Shrimann Local Maas Dal,1000.0,283.00
Dhiki Jato Barley Grits (Jau ko Chyakhla),1000.0,220.00
Resins(Kismis) -,500.0,325.00
Moong Chata Daal,1000.0,200.00
Nepal Gold Premium Katarani Rice,25000.0,2100.00
Haldirams Sada Papad,340.0,235.00
Mummas Fermented Khalpi Achar (),300.0,284
Mountain Natural Mustang Mix Beans Dal,1000.0,290.00
Split Black Gram ( Local Maas Ko Dal ),,260.00
Zandu Chaywanprash,,296.00
Ghar Ko Achar Timmur Chhop with Garlic,160.0,450.00
Broken Walnut / Cracked Okhar Kernel / Walnuts Kernels / Okhar Gudi  -,500.0,710.00
Cashew Nuts (Kaju)-,100.0,185.00
Kaju 200 Gm Badam 200 Gm Pesta 200 Gm Okhar Gudi  Combo,200.0,1799.00
Premium Walnut Kernels (Guddhi),200.0,319.00
Krishnabhog Premium Jeera Masino Steamed Rice,20000.0,1999.00
Sagarmatha Mango Pickle,200.0,65.00
"Sushi Nori (Kagawa) 20 Sheets,",50.0,1100.00
Shrimann Moong Khosta Dal,1000.0,212.00
Big Choice White Soya -,1000.0,218.00
Walnut (Singo Okhar)-,200.0,133
Homemade Deep Round Chilly  Pickle (Akbare  Achar),200.0,109
"Urban Food Canned Buff Sausage,",430.0,300.00
Kabuli Chana White Chick Peas [ Chole Bhature Chana ],1000.0,230.00
Wakame (Seaweed) -,50.0,600.00
Patanjali Lemon Pickle,400.0,125.00
Badam/Mumfali Badam,200.0,56.00
Slurrp Farm Strawberry Puffs- Yummy Millet based  Baked Teething Puffs -,15.0,90.00
Raisins ( Kismis Black Raisins ) -,200.0,250.00
Peanuts,1000.0,300.00
Miaow Miaow Prawan Crackers,50.0,150.00
Shrimann Rajma Dal,1000.0,224.00
Fresh Dates 200Gm / Khajur,200.0,150.00
PINTOLA All Natural Peanut Butter  (Creamy),1000.0,795.00
Patanjali Mix Veg Pickle,400.0,175.00
Smoked Dried Whole Fish Local,500.0,1000.00
Walnut Kernels (Gudi),200.0,310.00
Dry Black Raisin (Kalo Dakh)-,100.0,120.00
Dhiki Jato Local Rato Bodi,1000.0,250.00
Barley Whole Grain,500.0,90.00
Gundruk Pickle200g And Hot Chilly,210.0,465.00
Kaju Madhuram Fresh Cashew,250.0,460.00
Shrimann White Kerau-,1000.0,159.00
Walnut -  ( Grade A- Okhar),1000.0,595.00
Century Mango Pickle,200.0,85.00
Harlal-s Unique Pisatachios,100.0,290.00
Almond Nuts (Badam)-,100.0,160.00
Newari Shahi Pulao Basmati Rice,5000.0,975.00
Big Choice Malka Musuro  Whole/Kg,,160.00
Makhana Foxnuts Lotus seeds,250.0,230.00
Arksh Food Dami Crispy Puff -,150.0,60.00
Brown Rice Pokhreli-,5000.0,525.00
Barley Grits,1000.0,220.00
Hulas Jeera Masino  Rice,25000.0,2465.00
Natufoodies Blueberry Rice Puff,,950.00
Raw Peanuts,200.0,70.00
Natraj Soya Chunks Soyabean,500.0,135.00
Quinoa Red,400.0,550.00
Hamro Koseli Bhuteko Badam,500.0,150.00
Sweet & Sour Mango Achar-,350.0,400.00
Bikaji Papad -,360.0,235.00
"Big Choice Regular Rahar Non Polish Daal,",1000.0,258.00
Barari Prawn Crackers,120.0,40.00
Chana Sattu -,500.0,160.00
Century Mango Pickle,1000.0,275.00
Patanjali Pustahar Daliya,500.0,135.00
MAZZA Specialita Alimentari Fusilli,500.0,225.00
Black Dates (Chokada),100.0,80
Shrimann Kwati Roll,500.0,136.00
Poshilo's Nutty Delight Satu  (Local Sattu),400.0,192.00
Pumpkin Seeds ( Pharshi Ko Biyah ),100.0,123
Almond - 1kg / Badam / Almonds -,1000.0,1400.00
Organic Nepali Rajma Simi Kidney Beans,1000.0,250.00
Aarati Premium Rice-,20000.0,3385.00
