value,title,url,order,id
groceries-canned-dry-packaged-food-dried-goods-dried-fruit-nuts,Dried Fruit Nuts,/groceries-canned-dry-packaged-food-dried-goods-dried-fruit-nuts/?q=food,0,10002461
biscuits-cookies,Biscuit,/biscuits-cookies/?q=food,0,7235
sauces-pickles,Olives Pickles Chutneys,/sauces-pickles/?q=food,0,10002448
chips-crisps,Chips & Crisps,/chips-crisps/?q=food,0,7231
groceries-snacks-indian-snacks,Indian Snacks,/groceries-snacks-indian-snacks/?q=food,0,10002149
groceries-canned-dry-packaged-food-instant-ready-to-eat-ready-to-eat,Ready to Eat,/groceries-canned-dry-packaged-food-instant-ready-to-eat-ready-to-eat/?q=food,0,10002454
groceries-canned-dry-packaged-food-grains-beans-pulses-lentils-dhal,Lentils,/groceries-canned-dry-packaged-food-grains-beans-pulses-lentils-dhal/?q=food,0,10002458
rice,Rice,/rice/?q=food,0,10002447
groceries-snacks-other-snacks,Other Snacks,/groceries-snacks-other-snacks/?q=food,0,10002156
pulses-beans,Beans & Chickpeas,/pulses-beans/?q=food,0,10002455
haldiram-s,Haldiram's,,0,
big-choice-123260096,Big Choice,,0,
parle,Parle,,0,
lays-124560,Lays,,0,
true-elements-123788471,True Elements,,0,
britannia,Britannia,,0,
merokishan-126006269,Merokishan,,0,
poshilo-124384219,Poshilo,,0,
bikaji-123265663,Bikaji,,0,
bhansaghar-203187,Bhansaghar,,0,
khajurico-121190242,Khajurico,,0,
laoganma-125855684,LAOGANMA,,0,
spartan,Spartan,,0,
himalaya-great-foods-203368,Himalaya Great Foods,,0,
muscleblaze-121128811,MuscleBlaze,,0,
slurrp-farm-123474014,Slurrp Farm,,0,
gerber,Gerber,,0,
makkusé-124624095,Makkusé,,0,
patanjali,Patanjali,,0,
unibic,Unibic,,0,
COD,Cash On Delivery,,4,
FBL,Daraz Verified,,5,
FS,Free Shipping,,6,
OS,DarazMall,,7,
-168,Nepal,,0,
7:4498,No Warranty,,0,
7:123708611,Seller Warranty,,0,
7:4492,Local seller warranty,,0,
7:202276,100 % original product,,0,
7:202300,Brand Warranty,,0,
40899:123944875,Cool & Dry Place,,0,
40899:123944873,Ambient,,0,
40899:123944874,Refrigerated,,0,
30129:3731,Black,,0,
30129:1235,Maroon,,0,
30129:3733,Brown,,0,
30129:1577,Red,,0,
30129:3744,Yellow,,0,
30129:3759,Multicolor,,0,
30129:3738,Orange,,0,
30129:3743,White,,0,
30129:3741,Silver,,0,
30129:3800,Dark Brown,,0,
30129:3732,Blue,,0,
30129:3736,Green,,0,
groceries-canned-dry-packaged-food-dried-goods-dried-fruit-nuts,Dried Fruit Nuts,/groceries-canned-dry-packaged-food-dried-goods-dried-fruit-nuts/?q=food,0,10002461
biscuits-cookies,Biscuit,/biscuits-cookies/?q=food,0,7235
sauces-pickles,Olives Pickles Chutneys,/sauces-pickles/?q=food,0,10002448
chips-crisps,Chips & Crisps,/chips-crisps/?q=food,0,7231
groceries-snacks-indian-snacks,Indian Snacks,/groceries-snacks-indian-snacks/?q=food,0,10002149
groceries-canned-dry-packaged-food-instant-ready-to-eat-ready-to-eat,Ready to Eat,/groceries-canned-dry-packaged-food-instant-ready-to-eat-ready-to-eat/?q=food,0,10002454
groceries-canned-dry-packaged-food-grains-beans-pulses-lentils-dhal,Lentils,/groceries-canned-dry-packaged-food-grains-beans-pulses-lentils-dhal/?q=food,0,10002458
rice,Rice,/rice/?q=food,0,10002447
groceries-snacks-other-snacks,Other Snacks,/groceries-snacks-other-snacks/?q=food,0,10002156
pulses-beans,Beans & Chickpeas,/pulses-beans/?q=food,0,10002455
haldiram-s,Haldiram's,,0,
big-choice-123260096,Big Choice,,0,
parle,Parle,,0,
lays-124560,Lays,,0,
true-elements-123788471,True Elements,,0,
britannia,Britannia,,0,
merokishan-126006269,Merokishan,,0,
poshilo-124384219,Poshilo,,0,
bikaji-123265663,Bikaji,,0,
bhansaghar-203187,Bhansaghar,,0,
khajurico-121190242,Khajurico,,0,
laoganma-125855684,LAOGANMA,,0,
spartan,Spartan,,0,
himalaya-great-foods-203368,Himalaya Great Foods,,0,
muscleblaze-121128811,MuscleBlaze,,0,
slurrp-farm-123474014,Slurrp Farm,,0,
gerber,Gerber,,0,
makkusé-124624095,Makkusé,,0,
patanjali,Patanjali,,0,
unibic,Unibic,,0,
COD,Cash On Delivery,,4,
FBL,Daraz Verified,,5,
FS,Free Shipping,,6,
OS,DarazMall,,7,
-168,Nepal,,0,
7:4498,No Warranty,,0,
7:123708611,Seller Warranty,,0,
7:4492,Local seller warranty,,0,
7:202276,100 % original product,,0,
7:202300,Brand Warranty,,0,
40899:123944875,Cool & Dry Place,,0,
40899:123944873,Ambient,,0,
40899:123944874,Refrigerated,,0,
30129:3731,Black,,0,
30129:1235,Maroon,,0,
30129:3733,Brown,,0,
30129:1577,Red,,0,
30129:3744,Yellow,,0,
30129:3759,Multicolor,,0,
30129:3738,Orange,,0,
30129:3743,White,,0,
30129:3741,Silver,,0,
30129:3800,Dark Brown,,0,
30129:3732,Blue,,0,
30129:3736,Green,,0,
groceries-canned-dry-packaged-food-dried-goods-dried-fruit-nuts,Dried Fruit Nuts,/groceries-canned-dry-packaged-food-dried-goods-dried-fruit-nuts/?q=food,0,10002461
biscuits-cookies,Biscuit,/biscuits-cookies/?q=food,0,7235
sauces-pickles,Olives Pickles Chutneys,/sauces-pickles/?q=food,0,10002448
chips-crisps,Chips & Crisps,/chips-crisps/?q=food,0,7231
groceries-snacks-indian-snacks,Indian Snacks,/groceries-snacks-indian-snacks/?q=food,0,10002149
groceries-canned-dry-packaged-food-instant-ready-to-eat-ready-to-eat,Ready to Eat,/groceries-canned-dry-packaged-food-instant-ready-to-eat-ready-to-eat/?q=food,0,10002454
groceries-canned-dry-packaged-food-grains-beans-pulses-lentils-dhal,Lentils,/groceries-canned-dry-packaged-food-grains-beans-pulses-lentils-dhal/?q=food,0,10002458
rice,Rice,/rice/?q=food,0,10002447
groceries-snacks-other-snacks,Other Snacks,/groceries-snacks-other-snacks/?q=food,0,10002156
pulses-beans,Beans & Chickpeas,/pulses-beans/?q=food,0,10002455
haldiram-s,Haldiram's,,0,
big-choice-123260096,Big Choice,,0,
parle,Parle,,0,
lays-124560,Lays,,0,
true-elements-123788471,True Elements,,0,
britannia,Britannia,,0,
merokishan-126006269,Merokishan,,0,
poshilo-124384219,Poshilo,,0,
bikaji-123265663,Bikaji,,0,
bhansaghar-203187,Bhansaghar,,0,
khajurico-121190242,Khajurico,,0,
laoganma-125855684,LAOGANMA,,0,
spartan,Spartan,,0,
himalaya-great-foods-203368,Himalaya Great Foods,,0,
muscleblaze-121128811,MuscleBlaze,,0,
slurrp-farm-123474014,Slurrp Farm,,0,
gerber,Gerber,,0,
makkusé-124624095,Makkusé,,0,
patanjali,Patanjali,,0,
unibic,Unibic,,0,
COD,Cash On Delivery,,4,
FBL,Daraz Verified,,5,
FS,Free Shipping,,6,
OS,DarazMall,,7,
-168,Nepal,,0,
7:4498,No Warranty,,0,
7:123708611,Seller Warranty,,0,
7:4492,Local seller warranty,,0,
7:202276,100 % original product,,0,
7:202300,Brand Warranty,,0,
40899:123944875,Cool & Dry Place,,0,
40899:123944873,Ambient,,0,
40899:123944874,Refrigerated,,0,
30129:3731,Black,,0,
30129:1235,Maroon,,0,
30129:3733,Brown,,0,
30129:1577,Red,,0,
30129:3744,Yellow,,0,
30129:3759,Multicolor,,0,
30129:3738,Orange,,0,
30129:3743,White,,0,
30129:3741,Silver,,0,
30129:3800,Dark Brown,,0,
30129:3732,Blue,,0,
30129:3736,Green,,0,
groceries-canned-dry-packaged-food-dried-goods-dried-fruit-nuts,Dried Fruit Nuts,/groceries-canned-dry-packaged-food-dried-goods-dried-fruit-nuts/?q=food,0,10002461
biscuits-cookies,Biscuit,/biscuits-cookies/?q=food,0,7235
sauces-pickles,Olives Pickles Chutneys,/sauces-pickles/?q=food,0,10002448
chips-crisps,Chips & Crisps,/chips-crisps/?q=food,0,7231
